09:42:49	 120.00	  0.00
09:43:04	 122.50	  4.25
09:43:19	 125.00	  8.48
09:43:34	 127.50	 12.68
09:43:49	 130.00	 16.82
09:44:04	 132.50	 20.89
09:44:19	 135.00	 24.87
09:44:34	 137.50	 28.75
09:44:49	 140.00	 32.50
09:45:04	 142.50	 36.11
09:45:19	 145.00	 39.57
09:45:34	 147.50	 42.86
09:45:49	 150.00	 45.96
09:46:04	 152.50	 48.87
09:46:19	 155.00	 51.57
09:46:34	 157.50	 54.05
09:46:49	 160.00	 56.29
09:47:04	 162.50	 58.30
09:47:19	 165.00	 60.05
09:47:34	 167.50	 61.55
09:47:49	 170.00	 62.79
09:48:04	 172.50	 63.75
09:48:19	 175.00	 64.44
09:48:34	 177.50	 64.86
09:48:49	 180.00	 65.00
09:49:04	 182.50	 64.86
09:49:19	 185.00	 64.44
09:49:34	 187.50	 63.75
09:49:49	 190.00	 62.79
09:50:04	 192.50	 61.55
09:50:19	 195.00	 60.05
09:50:34	 197.50	 58.30
09:50:49	 200.00	 56.29
09:51:04	 202.50	 54.05
09:51:19	 205.00	 51.57
09:51:34	 207.50	 48.87
09:51:49	 210.00	 45.96
09:52:04	 212.50	 42.86
09:52:19	 215.00	 39.57
09:52:34	 217.50	 36.11
09:52:49	 220.00	 32.50
09:53:04	 222.50	 28.75
09:53:19	 225.00	 24.87
09:53:34	 227.50	 20.89
09:53:49	 230.00	 16.82
09:54:04	 232.50	 12.68
09:54:19	 235.00	  8.48
09:54:34	 237.50	  4.25
09:54:49	 240.00	  0.00
