0;16;1
2;16;1
4;16;1
6;16;1
8;16;1
10;16;1
12;16;1
14;16;1
16;16;1
18;16;1
20;16;1
22;16;1
24;16;1
26;16;1
28;16;1
30;16;1
32;16;1
34;16;1
36;16;1
38;16;1
40;16;1
40;19.2;2
42;16;1
42;19.2;2
44;16;1
44;19.2;2
46;16;1
46;19.2;2
48;16;1
48;19.2;2
50;16;1
50;19.2;2
52;16;1
52;19.2;2
54;16;1
54;19.2;2
56;16;1
56;19.2;2
58;16;1
58;19.2;2
60;16;1
60;19.2;2
62;16;1
62;19.2;2
64;16;1
64;19.2;2
66;16;1
66;19.2;2
68;16;1
68;19.2;2
70;16;1
70;19.2;2
72;16;1
72;19.2;2
74;16;1
76;16;1
78;16;1
88;28;2
90;28;2
92;28;2
94;28;2
96;28;2
98;28;2
100;28;2
102;28;2
104;28;2
106;28;2
108;28;2
110;28;2
112;28;2
114;28;2
116;28;2
118;28;2
120;28;2
122;28;2
124;28;2
126;28;2
128;28;2
130;28;2
132;28;2
134;28;2
136;28;2
138;28;2
140;28;2
142;28;2
144;28;2
146;28;2
148;28;2
150;28;2
152;28;2
154;28;2
156;28;2
158;28;2
160;28;2
162;28;2
164;28;2
166;28;2
168;12.3;2
170;12.3;2
172;12.3;2
174;12.3;2
176;12.3;2
178;12.3;2
180;12.3;2
182;12.3;2
184;12.3;2
186;12.3;2
188;12.3;2
190;12.3;2
192;12.3;2
194;12.3;2
196;12.3;2
198;12.3;2
200;12.3;2
202;12.3;2
204;12.3;2
206;12.3;2
208;12.3;2
210;12.3;2
212;12.3;2
214;12.3;2
216;12.3;2
218;12.3;2
220;12.3;2
222;12.3;2
224;12.3;2
226;12.3;2
228;12.3;2
230;12.3;2
232;12.3;2
180;19;2
182;19;2
184;19;2
186;19;2
188;19;2
190;19;2
192;19;2
194;19;2
196;19;2
198;19;2
216;14;1
218;14;1
220;14;1
222;14;1
224;14;1
226;14;1
228;14;1
230;14;1
232;14;1
234;14;1
236;14;1
238;14;1
240;14;1
242;14;1
244;14;1
246;14;1
248;14;1
250;14;1
278;18;1
280;18;1
282;18;1
284;18;1
286;18;1
288;18;1
290;18;1
292;18;1
294;18;1
296;18;1
298;18;1
300;18;1
302;18;1
304;18;1
306;18;1
308;18;1
310;18;1
312;18;1
314;18;1
316;18;1
318;18;1
320;18;1
322;18;1
324;18;1
326;18;1
328;18;1
330;18;1
332;18;1
334;18;1
336;18;1
338;18;1
340;18;1
342;18;1
344;18;1
346;18;1
348;18;1
350;18;1
352;18;1
